NDW:1.0
TTFW:1.0
DFPT:1.0
DFPAP:10.0
DFPMP:1.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
ge-1,true,1.00,25,266,23,1,1241,567
ge-2,true,1.00,9,235,8,1,412,215
ge-3,true,1.00,20,226,19,1,940,775
ge-4,true,1.00,7,249,6,1,334,118
ge-5,true,1.00,2,199,1,1,71,1
ge-6,true,1.00,790,250,790,24,45201,1312
ge-7,true,1.00,3,210,2,1,79,3
ge-8,true,1.00,5,217,4,1,229,81
ge-9,true,1.00,3,204,2,1,83,3
ge-10,true,1.00,6,199,5,1,201,92
ge-11,true,1.00,3,223,2,1,107,15
ge-12,true,1.00,5,223,3,1,130,40
ge-13,true,1.00,46,246,45,2,2350,1437
ge-14,true,1.00,8,217,7,1,368,139
ge-15,true,1.00,3,223,2,1,110,18
ge-16,true,1.00,4886,330,4885,148,287885,1865
ge-17,true,1.00,6,216,5,1,248,86
ge-18,true,1.00,594,259,593,18,32495,756
ge-19,true,1.00,5,237,4,1,213,79
ge-20,true,1.00,6,216,4,1,219,82
ge-21,true,1.00,3,199,2,1,74,3
ge-22,true,1.00,3,199,1,1,76,3
ge-23,true,1.00,4,220,3,1,101,20
ge-24,true,1.00,10,234,9,1,419,291
ge-25,true,1.00,3,205,2,1,77,1
ge-26,true,1.00,2,199,1,1,74,3
ge-27,true,1.00,10,217,9,1,487,286
ge-28,true,1.00,3,205,1,1,76,3
ge-29,true,1.00,5,214,3,1,166,60
ge-30,true,1.00,21,258,20,1,1080,623
ge-31,true,1.00,98,253,97,3,5936,1857
ge-32,true,1.00,34,239,32,1,1852,1623
ge-33,true,1.00,5,239,4,1,146,33
ge-34,true,1.00,3,211,2,1,82,3
ge-35,true,1.00,21,234,20,1,1014,560
ge-36,true,1.00,40,262,38,2,2082,86
ge-37,true,1.00,3,210,2,1,79,4
ge-38,true,1.00,4,223,2,1,141,29
ge-39,true,1.00,25,229,24,1,1423,991
ge-40,true,1.00,3,199,2,1,69,1
ge-41,true,1.00,3,199,2,1,76,3
ge-42,true,1.00,23,245,21,1,1204,963
ge-43,true,1.00,65,245,64,2,3825,1514
ge-44,true,1.00,5,233,3,1,136,15
